category,classification,comments,dec,flux,id,pos_err,ra,ref_flux,simbad_name,src_type,tags,detail_url
Star,Double or Multiple Star,,57.90603498613,5.1165148000000006e-11,304284,0.04265405644075738,200.84695497467,1.32e-11,HD 238224,source,['known_source'],
Star,Rotating Variable,,-38.061057912600006,3.0377392e-11,192888,0.004346418434187467,262.52792777825,2.9e-12,HD 323523,source,['known_source'],
Star,Spectroscopic Binary,,-28.00014074051,5.435117e-11,285195,0.040042547897717495,105.10295752593,1.71e-11,CD-27 3509,source,['known_source'],
Star,High Proper Motion Star,,21.031694667474074,5.282119e-11,414037,0.04300694551098962,354.7229842530617,5.95e-11,G 68-34,source,['known_source'],
Star,RS CVn Variable,,-72.04304092545,5.154353400000001e-11,64853,0.013717546384966191,96.41803189008,1.59e-12,AE Men,source,['known_source'],
Star,Star,,-33.50283,5.3518846000000006e-11,194135,0.025992822782435955,263.40808,2.15e-12,[KW2003] 28,source,['known_source'],
Unverified,Unverified,,51.05175429454336,1.9394766000000002e-11,554797,0.0485299401248157,74.91033428214331,,WXT J045939+510306,source,['known_source'],
Unverified,Unverified,,-16.015250056358934,4.8212436e-12,554089,0.04018512389880625,95.54198936783088,2.39e-12,WXT J062210-160054,source,['known_source'],
Unverified,Unverified,,77.23183252175869,1.308756e-11,554126,0.05608105223043635,44.012375632622756,,WXT J025603+771355,source,['known_source'],
Unverified,Unverified,,-11.888884191379496,1.1053206000000001e-11,554532,0.05599052509546386,146.60695210573493,,WXT J094626-115320,source,['known_source'],
Unverified,Unverified,,52.50581423890807,1.5106802000000002e-11,554483,0.05427771530853581,334.45392625051346,,WXT J221749+523021,source,['known_source'],
AGN,Seyfert 2 Galaxy,,-4.934882865,2.3194496e-11,38212,0.0,125.7545661,6.95e-12,MCG-01-22-006,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,-9.19759160264,4.178556600000001e-12,219737,0.03894111498937482,24.314079209989995,1.22e-11,MCG-02-05-020,source,['known_source'],
AGN,Seyfert 1,,-18.808627502719997,5.6984974000000005e-12,398926,0.04828192623153061,22.02800036603,1.88e-11,MCG-03-04-072,source,['known_source'],
Star,BY Dra Variable,,21.0749492474004,4.700476000000001e-12,283069,0.052549387562146735,153.5798467812106,6.53e-12,MCC 124,source,['known_source'],
Unverified,Unverified,,-20.335322952336696,5.4390000000000006e-12,556134,0.038398218139274805,30.40574353800139,,WXT J020137-202007,source,['known_source'],
Unverified,Unverified,,39.37529774576296,1.0373678e-11,556227,0.04675257990413025,138.3445299046351,,WXT J091322+392231,source,['known_source'],
,,,67.54698005123146,1.1228751400000001e-11,556623,0.050530897332961316,47.74076783058698,,WXT J031058+673249,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,78.69805430620858,3.3823434000000004e-11,556143,0.047236464922962386,255.94716855574586,2.14e-11,2MASX J17034282+7839226,source,['known_source'],
Unverified,Unverified,,86.0947218499234,9.164934e-12,556867,0.04290968092478227,150.00940188565448,,WXT J100002+860541,source,['known_source'],
Unverified,Unverified,,-8.076642056036496,1.4048240000000001e-11,554475,0.04448329390354744,91.94635431505894,,WXT J060747-080436,source,['known_source'],
Unverified,Unverified,,38.519795333411516,7.0997322000000005e-12,554524,0.042418789169436644,191.24043735969974,,WXT J124458+383111,source,['known_source'],
Unverified,Unverified,,-45.427017619127035,1.44819468e-11,554095,0.048134609496562855,31.000783372041234,4.86e-12,WXT J020400-452537,source,['known_source'],
Unverified,Unverified,,-0.12056033997176534,8.958062e-12,555250,0.042231668596680934,164.61484401489062,,WXT J105828-000714,source,['known_source'],
Unverified,Unverified,,13.11130365221289,1.1226300000000001e-11,555299,0.04495353537292272,99.93984162139898,,WXT J063946 +130641,source,['known_source'],
Star,Star,Isolated neutron stars,-31.43061388888889,1.2108262e-11,42424,0.0056443587943503385,110.10400416666667,1.24e-10,RX J0720.4-3125,source,['known_source'],
Star,BY Dra Variable,,40.20105663550611,2.1912646e-11,37494,0.0,140.60809795797292,3.26e-11,BF Lyn,source,['known_source'],
Star,BY Dra Variable,,-40.003147798268934,1.4292502800000002e-11,39436,0.016161766352068667,120.89603140977576,4.38e-10,zet Pup,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,-38.361666666666665,6.626720000000001e-12,118549,0.005335810621283732,199.29,5.85e-12,MCXC J1317.1-3821,source,['known_source'],
AGN,Seyfert 2 Galaxy,,-3.827137276,4.52e-11,38211,0.0,26.35612564,4.52e-11,MCG-01-05-031,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,19.453,1.7026140000000002e-12,129553,0.004998036903007385,243.893,9.19e-13,MCXC J1615.5+1927,source,['known_source'],
Galaxy,Brightest Galaxy in a Cluster,,39.226858,2.266328e-12,100818,0.006659198603130321,197.785932,3.34e-14,MCG+07-27-039,source,['known_source'],
AGN,Seyfert 1,,-5.4831966964,2.6555992e-12,46170,0.004809899342846482,159.94318227364,5.25e-12,MCG-01-27-031,source,['known_source'],
Unverified,Unverified,,66.4907199475169,1.2795024e-11,556512,0.04840118087601278,333.129929117268,,WXT J221231+662926,source,['known_source'],
