"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"193177","AT 2025aefg","05:56:10.430","-53:35:51.10","","","","","MASTER","MASTER","","MASTER","MASTER OT J055610.43-533551.1","Other - Other","","1","1","","19.9","Other-","2025-11-18 07:52:01.920","MASTER","","","","","",""
"193176","AT 2025aeff","06:47:24.720","-37:20:59.60","","","","","MASTER","MASTER","","MASTER","MASTER OT J064724.72-372059.6","Other - Other","","1","1","","18.8","Other-","2025-11-17 07:20:46.176","MASTER","","","","","",""
"193175","AT 2025aefe","12:49:56.191","+51:42:08.60","","","","","ZTF","ZTF","","ZTF","ZTF18aasxgxt","P48 - ZTF-Cam","","1","1","","19.732","g-ZTF","2025-11-13 11:12:59.999","Fritz","","","","","",""
"193173","AT 2025aefd","02:02:54.423","+00:52:34.90","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.48","Clear-","2025-11-16 16:37:48.288","LAST_Bot1","","","","","",""
"193172","AT 2025aefc","00:31:18.925","+15:27:09.37","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.68","Clear-","2025-11-19 17:23:14.208","LAST_Bot1","","","","","",""
"193171","AT 2025aefb","01:05:17.844","+03:54:43.82","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.76","Clear-","2025-11-19 19:05:21.696","LAST_Bot1","","","","","",""
"193170","AT 2025aefa","03:17:44.901","-15:57:47.01","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25ikl","PS2 - GPC2","","1","1","","20.49","i-P1","2025-11-16 10:06:53.280","YSE_Bot1","","","","","",""
"193169","AT 2025aeez","11:04:06.487","-20:48:27.75","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25onz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.707","orange-ATLAS","2025-11-15 14:54:10.944","ATLAS_Bot1","","","","","",""
"193168","AT 2025aeey","05:30:14.860","-62:55:47.16","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ony","ATLAS-CHL - ATLAS-04","","1","1","","18.598","cyan-ATLAS","2025-11-16 05:18:56.736","ATLAS_Bot1","","","","","",""
"193167","AT 2025aeex","05:41:48.284","-68:55:39.36","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25onw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","17.234","orange-ATLAS","2025-11-17 00:03:59.328","ATLAS_Bot1","","","","","",""
"193166","AT 2025aeew","02:17:19.120","-36:54:40.40","","","","","MASTER","MASTER","","MASTER","MASTER OT J021719.12-365440.4","Other - Other","","1","1","","18.3","Other-","2025-11-12 05:24:52.704","MASTER","","","","","",""
"193165","AT 2025aeev","03:23:39.798","-02:27:58.71","","","","","GOTO","GOTO","","GOTO","GOTO25kmn","GOTO-N - GOTO-2, GOTO-S - GOTO-3","","1","1","","19.62","L-GOTO","2025-11-09 13:22:28.992","GOTO_bot","","","","","",""
"193164","AT 2025aeeu","01:39:18.222","-05:15:41.93","","","","","GOTO","GOTO","","GOTO","GOTO25kmm","GOTO-N - GOTO-2","","1","1","","19.52","L-GOTO","2025-11-17 23:30:08.064","GOTO_bot","","","","","",""
"193163","AT 2025aeet","01:32:56.250","-10:37:54.16","","","","","GOTO, LAST","GOTO, LAST","","GOTO, LAST","GOTO25kme","GOTO-S - GOTO-3, LAST - LAST-Cam","","1","1","","19.47","L-GOTO","2025-11-19 11:03:33.984","GOTO_bot","","","","","",""
"193162","AT 2025aees","01:09:09.222","-75:18:16.70","","","","","GOTO","GOTO","","GOTO","GOTO25kmk","GOTO-S - GOTO-4","","1","1","","19.92","L-GOTO","2025-11-19 12:05:21.408","GOTO_bot","","","","","",""
"193161","AT 2025aeer","11:28:54.292","+26:14:03.57","","","","","GOTO","GOTO","","GOTO","GOTO25kmc","GOTO-N - GOTO-2","","1","1","","19.38","L-GOTO","2025-11-19 05:48:46.944","GOTO_bot","","","","","",""
"193160","AT 2025aeeq","23:49:30.030","-17:11:36.21","","","","","GOTO","GOTO","","GOTO","GOTO25kmf","GOTO-S - GOTO-3","","1","1","","19.73","L-GOTO","2025-11-19 10:40:19.488","GOTO_bot","","","","","",""
"193159","AT 2025aeep","21:58:38.182","-47:31:56.60","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ons","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.032","cyan-ATLAS","2025-11-12 00:41:44.736","ATLAS_Bot1","","","","","",""
"193158","AT 2025aeeo","03:52:45.718","-17:25:15.89","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25onr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.318","cyan-ATLAS","2025-11-15 11:01:39.072","ATLAS_Bot1","","","","","",""
"193157","AT 2025aeen","05:13:19.240","-40:16:27.33","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25onq","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","","1","1","","19.064","orange-ATLAS","2025-11-13 22:24:52.416","ATLAS_Bot1","","","","","",""
"193156","AT 2025aeem","04:33:42.333","-62:41:35.16","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25onp","ATLAS-CHL - ATLAS-04","","1","1","","19.406","cyan-ATLAS","2025-11-16 04:37:13.728","ATLAS_Bot1","","","","","",""
